Round,Grand Prix,Date,Winner,lat,long
1,Australian GP,2018-03-25,Vettel,-37.8497,144.968
2,Bahrain GP,2018-04-08,Vettel,26.0325,50.5106
3,Chinese GP,2018-04-15,Ricciardo,31.3389,121.22
4,Azerbaijan GP,2018-04-29,Hamilton,40.3725,49.8533
5,Spanish GP,2018-05-13,Hamilton,41.57,2.26111
6,Monaco GP,2018-05-27,Ricciardo,43.7347,7.42056
7,Canadian GP,2018-06-10,Vettel,45.5,-73.5228
8,French GP,2018-06-24,Hamilton,43.2506,5.79167
9,Austrian GP,2018-07-01,Verstappen,47.2197,14.7647
10,British GP,2018-07-08,Vettel,52.0786,-1.01694
11,German GP,2018-07-22,Hamilton,49.3278,8.56583
12,Hungarian GP,2018-07-29,Hamilton,47.5789,19.2486
13,Belgian GP,2018-08-26,Vettel,50.4372,5.97139
14,Italian GP,2018-09-02,Hamilton,45.6156,9.28111
15,Singapore GP,2018-09-16,Hamilton,1.2914,103.864
16,Russian GP,2018-09-30,Hamilton,43.4057,39.9578
17,Japanese GP,2018-10-07,Hamilton,34.8431,136.541
18,United States GP,2018-10-21,Räikkönen,30.1328,-97.6411
19,Mexican GP,2018-10-28,Verstappen,19.4042,-99.0907
20,Brazilian GP,2018-11-11,Hamilton,-23.7036,-46.6997
21,Abu Dhabi GP,2018-11-25,Hamilton,24.4672,54.6031
